Date,Load (MW)
2/3/2015,9278
2/3/2015,9248
2/3/2015,9321
2/3/2015,9767
2/3/2015,11019
2/3/2015,11946
2/3/2015,11975
2/3/2015,11818
2/3/2015,11735
2/3/2015,11614
2/3/2015,11454
2/3/2015,11587
2/3/2015,11701
2/3/2015,11643
2/3/2015,11812
2/3/2015,12488
2/3/2015,13193
2/3/2015,12990
2/3/2015,12551
2/3/2015,11855
2/3/2015,10964
2/3/2015,10075
2/4/2015,9841
2/4/2015,9468
2/4/2015,9418
2/4/2015,9106
2/4/2015,9131
2/4/2015,9817
2/4/2015,10971
2/4/2015,11939
2/4/2015,11971
2/4/2015,11861
2/4/2015,11729
2/4/2015,11641
2/4/2015,11540
2/4/2015,11591
2/4/2015,11592
2/4/2015,11580
2/4/2015,11710
2/4/2015,12472
2/4/2015,13171
2/4/2015,12955
2/4/2015,12580
2/4/2015,11922
2/4/2015,11087
2/4/2015,10222
2/5/2015,9929
2/5/2015,9613
2/5/2015,9404
2/5/2015,9337
2/5/2015,9569
2/5/2015,10121
2/5/2015,11002
2/5/2015,11941
2/5/2015,12006
2/5/2015,12139
2/5/2015,12042
2/5/2015,12007
2/5/2015,11825
2/5/2015,11807
2/5/2015,11800
2/5/2015,11799
2/5/2015,11858
2/5/2015,12583
2/5/2015,13253
2/5/2015,13023
2/5/2015,12610
2/5/2015,11943
2/5/2015,11027
2/5/2015,10119
2/6/2015,9759
2/6/2015,9575
2/6/2015,9372
2/6/2015,9304
2/6/2015,9463
2/6/2015,9813
2/6/2015,10748
2/6/2015,11598
2/6/2015,11740
2/6/2015,12009
2/6/2015,12177
2/6/2015,12299
2/6/2015,12265
2/6/2015,12222
2/6/2015,12089
2/6/2015,11980
2/6/2015,12184
2/6/2015,12734
2/6/2015,12972
2/6/2015,12647
2/6/2015,12197
2/6/2015,11594
2/6/2015,10984
2/6/2015,10223
2/7/2015,9828
2/7/2015,9647
2/7/2015,9529
2/7/2015,9424
2/7/2015,9220
2/7/2015,8968
2/7/2015,9352
2/7/2015,9792
2/7/2015,10409
2/7/2015,11249
2/7/2015,11603
2/7/2015,11377
2/7/2015,11284
2/7/2015,11104
2/7/2015,10992
2/7/2015,10831
2/7/2015,10743
2/7/2015,11228
2/7/2015,11911
2/7/2015,11733
2/7/2015,11400
2/7/2015,10957
2/7/2015,10420
2/7/2015,9850
2/8/2015,9686
2/8/2015,9512
2/8/2015,9275
2/8/2015,9174
2/8/2015,9165
2/8/2015,9215
2/8/2015,9327
2/8/2015,9682
